@,di
kreatip,kreatif
kreta,kereta
krg,kurang
krj,kerja
krja,kerja
krjo,kerja
before,sebelum
kro,sama
krt,kartu
krtik,kritik
krtu,kartu
krtunya,kartunya
ksampean,kesampaian
ksana,kesana
ksedot,tersedot
ksel,kesal
ksetrum,tersetrum
ksian,kasihan
ksiang,kesiangan
ksiangan,kesiangan
ksianny,kasihannya
ksiannya,kasihannya
ksiany,kasihannya
ksianya,kasihannya
ksihan,kasihan
kskolah,ke sekolah
ksn,kesana
ksna,kesana
ksno,kesana
ksono,kesana
kstu,kesitu
ksukaan,kesukaan
ksukan,kesukaan
begajulan,nakal
ktany,katanya
aja,saja
ktawa2,ketawa-tawa
ktimbang,daripada
ktingalan,ketinggalan
ktinggalan,ketinggalan
ktinggian,ketinggian
ktingian,ketinggian
bego,bodoh
ktka,ketika
ktm,ketemu
ktmpt,ketempat
ktmuan,ketemuan
ktng,ketinggalan
bejibun,banyak
ktor,kotor
ktusuk,tertusuk
kuangen,kangen
kubawain,kubawakan
kumaha,bagaimana
kumplit,komplit
kumpul2,kumpul-kumpul
kumpulin,kumpulkan
kunaon,kenapa
kunjunganya,kunjungannya
kupayakan,kuupayakan
kyakx,sepertinya
kyamanan,kenyamanan
kyke,sepertinya
kykx,sepertinya
kyky,sepertinya
kyny,sepertinya
kynya,sepertinya
laba2,laba-laba
benarjujur,benar
lainny,lainnya
lainx,lainnya
lainy,lainnya
lainya,lainnya
lamo,lama
lancar2,lancar-lancar
lanjt,lanjut
lapanganya,lapangannya
laper,lapar
laporanya,laporannya
laporin,laporkan
lathan,latihan
latiannya,latihannya
latianya,latihannya
latihanya,latihannya
lautnye,lautnya
lawanya,lawannya
lawanye,lawannya
lbang,lubang
bencong,banci
lbr,libur
lbran,liburan
lbrn,liburan
lburan,liburan
lengkapin,lengkapi
letkol,letnan kolonel
bentar,sebentar
lgy,lagi
liatany,kelihatannya
liatny,lihatnya
liatnye,lihatnya
liburin,liburkan
lifestyle,gaya hidup
link,tautan
lipet,lipat
lipi,Lembaga Ilmu Pengetahuan Indonesia
lipstick,lipstik
list,daftar
living,tinggal
lju,laju
lkukn,lakukan
lma2,lama-lama
lmak,lemak
lmbr,lembar
lmbt,lambat
lmpu,lampu
ber3,bertiga
lncr,lancar
lnganan,langganan
lngganan,langganan
lngkap,lengkap
lngsg,langsung
lngsng,langsung
lnjt,lanjut
berdikari,berdiridiataskakisendiri
lnjutnya,lanjutnya
lntai,lantai
local,lokal
location,lokasi
beresin,membereskan
lokasiny,lokasinya
loncat2,loncat-loncat
longdistance,jarak jauh
longweekend,liburan panjang akhir pekan
longwekend,liburan panjang akhir pekan
longwiken,liburan panjang akhir pekan
looser,pecundang
lowbet,baterai lemah
lpa,lupa
lpangan,lapangan
lpas,lepas
luhkan,kamu kan
luka2,luka-luka
lupe,lupa
lwat,lewat
bete,bosan
m0nas,monas
m4ndiri,mandiri
ma2h,mamah
ma2mu,mamahmu
beti,bedatipis
mabelasribu,lima belas ribu
macacih,terimakasih
macetnyo,macetnya
maenan,mainan
maenannya,mainannya
maenannye,mainannya
maenanya,mainannya
maenanye,mainannya
maenin,mainkan
maf,maaf
mafin,maafkan
mafkan,maafkan
mahal2,mahal-mahal
mainy,mainnya
mainya,mainnya
makaci,terimakasih
makai,memakai
makanye,makanya
makaseh,terimakasih
makasiy,terimakasih
makin2,makin-makin
maksude,maksudnya
maksudnye,maksudnya
maksudx,maksudnya
maksut,maksud
maksutnya,maksudnya
mal,mall
malam2,malam-malam
maleh,lagi
mamany,mamahnya
mananye,mananya
mane,mana
mane2,mana-mana
manfaatin,manfaatkan
manfat,manfaat
manfatin,manfaatkan
manfatkan,manfaatkan
mangaku,mengaku
mangane,makannya
manggil2,manggil-manggil
manggl,manggil
mangil,manggil
mangil2,manggil-manggil
mangis,manggis
mangkane,makanya
mangkanya,makanya
mangkanye,makanya
mangku,memangku
mangl,manggil
mangnya,memangnya
mangung,manggung
mangungnya,manggungnya
maning,lagi
manis2,manis-manis
mantab,mantap
mantabh,mantap
mantabp,mantap
mantaf,mantap
mantaps,mantap
mantapz,mantap
mantebp,mantap
mantemand,teman-teman
manteub,mantap
manthap,mantap
manusia2,manusia-manusia
manut,ngikut
manutd,ngikut
maonya,maunya
map,maaf
map2,maaf-maaf
mapin,maafkan
marang,kepada
maren,kemarin
married,menikah
masal,massal
masalahny,masalahnya
masang,memasang
mash,masih
masjed,masjid
mastiin,memastikan
mastikn,memastikan
mastin,memastikan
masya,masyaAllah
MasyaAlah,masyaAllah
masyalah,masyaAllah
mateng,matang
matiin,matikan
matikn,matikan
matin,matikan
maunye,maunya
max,maksimal
maximum,maksimal
Bgm,bagaimana
mbake,mbaknya
mbaku,mbakku
mbalek,balik
mbalekno,kembalikan
mbalik,balik
mbaq,mbak
mbek,sama
mbiyen,dahulu
mboten,tidak
mbrikan,memberikan
mbuat,membuat
mbwa,membawa
mcam,macam
mcetnya,macetnya
mcm2,macam-macam
mdg,mending
mdingan,mendingan
mekah,mekkah
melakukanya,melakukannya
