@,di
pemprov,pemerintah provinsi
pemred,pemimpinredaksi
penertiban,tertib
penjas,pendidikanjasmani
perda,peraturandaerah
pesenan,pesanan
pgang,pegang
aqu,saya
Phiologi,Fiologi 
Phisik,fisik
photo,foto
pilgub,pemilihan gubernur
pilkada,pemilihankepaladaerah
pinter2,pintar-pintar
pisan,sekali
pket,paket
please,*memohon
arab2,arab-arab
plh,pilih
pls,pulsa
pmrnth,pemerintah
pndukung,pendukung
"artis""",artis-artis
polantas,polisilalulintas
ponpes,pondokpesantren
pp,pimpinanpusat
prepare,persiapan
prg,pergi
priksa,periksa
artis2,artis-artis
pro,profesional
problem,masalah
prtm,pertama
psen,pesan
psn,pesan
mak jang,kaget
pswt,pesawat
puanas,panas
puyeng,pusing
pw,posisinyaman
qmo,kamu
artix,artinya
quiz,kuis
rakor,rapatkoordinasi
rame,ramai
ranmor,kendaraanbermotor
raskin,rakyatmiskin
asikkk,asik
re,reply
red,redaksi
ref,referensi
reg,register
rehab,rehabilitasi
Rejeki,Rezeki
reklamuk,reklamasi
renstra,rencanastrategis
repp,balas
reskrim,resersekriminal
restik,resersenarkotika
reward,hadiah
rhs,Rahasia
rights,benar
asliii,asli
Ru,Baru
rubahnn,rubah
ruko,rumahtoko
rusunawa,rumahsusunsewa
ruz,terus
sadaar,sadar
saia,saya
salting,salahtingkah
astagaa,astaga
samsek,samasekali
sapa,siapa
sapose,siapa
satpam,satuanpengamanan
sbaliknya,sebaliknya
astagaaaa,astaga
sbh,sebuah
ato,atau
sbnrnya,sebenarnya
sebelas dua belas,mirip
sdng,sedang
se7,setuju
selese,selesai
sembako,sembilanbahanpokok
sendratari,senidramatari
sept,september
sesok,besok
seting,akting
setting,atur
shg,sehingga
siech,sih
sikon,situasidankondisi
simiskin,miskin
sinetron,sinemaelektronik
siramin,siramkan
skalian,sekalian
ats,atas
atu,satu-satu
skul,sekolah
atw,atau
slesai,selesai
slma,selama
slrh,seluruh
slsai,selesai
awal2,awal-awal
smbl,sambil
awk,awak
smlm,semalam
ayank,sayang
ayoo,ayo
sng,senang
sni,sini
sohib,teman
soljum,sholatjumat
solve,solusi
somse,sombongsekali
songong,sombong
sorry,maaf
sory,maaf
sosbud,sosial-budaya
sosek,sosial-ekonomi
sospol,sosial-politik
sowry,maaf
spa,siapa
spd,sepeda
sppa,siapa
srg,sering
sring,sering
daring,online
srtfkt,sertifikat
stgh,setengah
still,masih
ayooo,ayo
subbag,subbagian
sumbangin,sumbangkan
sumpek,sempit
ayoook,ayo
tabanas,tabunganpembangunannasional
tahi,kotoran
ayoooo,ayo
tajir,kaya
tak,tidak
taknak,tidak enak
tapi,tetapi
tau,tahu
tauk,tahu
ayuk,ayo
tawh,tahu
aza,saja
b2,berdua
te2p,tetap
teh,kakakperempuan
tekor,rugi
telat,terlambat
telfon,telepon
telkom,telekomunikasi
telmi,telatberpikir
telp,telepon
telpon,telepon
bacaaaa,baca
tengil,menyebalkan
tengok,menjenguk
tepar,terkapar
terbitin,terbitkan
baek,baik
teteup,tetap
tggu,tunggu
tgs,tugas
tgu,tunggu
thanks,terimakasih
thankz,terimakasih
thd,terhadap
they,mereka
thx,terimakasih
tilang,buktipelanggaran
tilep,tilap
tioghoa,tionghoa
tipi,TV
tipiwan,TvOne
tirani,tiran
tkg,tukang
tks,terimakasih
tl,timeline
tll,terlalu
tlpn,telepon
tls,tulis
baget,banget
tmen2,teman-teman
tmpah,tumpah
tmph,tumpah
bagi2,bagi bagi
tnda,tanda
tng,tenang
tngu,tunggu
tnh,tanah
tny,tanya
bagiin,bagikan
tnyta,ternyata
togel,totogelap
tokai,tai
toserba,tokoserbaada
bagus2,bagus-bagus
tq,terimakasih
trdhulu,terdahulu
tren,trend
trending,trend
trf,tarif
trgntg,tergantung
baguss,bagus
trllu,terlalu
trm,terima
trmsk,termasuk
trnsksi,transaksi
trnyt,ternyata
bagusss,bagus
baik2,baik-baik
trz,terus
ts,penulis
tsangka,tersangka
tst,tahusamatahu
ttd,tanda tangan
bdk2,anak anak
ttng,tentang
baikk,baik
baju2,baju-baju
tuh,itu
tuir,tua
tv,televisi
bales,balas
u/,untuk
uasai,kuasa
bangat,banget
onlineotak,otak daring
oflen,offline
cancel,batal
workfromhome,bekerja dari rumah
atuser,
and,dan
dha,dia
cpt2,cepat cepat
msi,masih
mtkk,matematika
mtkkk,matematika
ortuku,orang tuaku
ytb,youtube
begimanaaa,bagaimana
laptoo,laptop
ngapsen,mengabsen
bisa2,bisa-bisa
menyulidkan,menyulitkan
dadi,jadi
pembeljrn,pembelajaran
banged,banget
oplen,offline
ujung2nya,ujung-ujungnya
adkel,adik kelas
mntp,mantap
r i p,mati
dahlah,sudahlah
ckuplah,cukuplah
kulon,kuliah online
pulang2,pulang-pulang
cororong,corona
notip,notifikasi
ambis,ambisi
onlennnn,online
matlis,mati listrik
tementemen,teman-teman
ul,ulangan
jahat2,jahat jahat
kulyah,kuliah
school,sekolah
nyusahke,nyusahkan
irit2,irit irit
mudeng,ngerti
paham2,paham paham
jingan,bajingan
mless,malas
class,kelas
ultah,ulang tahun
kelar2,kelar kelar
guru2,guru-guru
bangeeeet,banget
tipsen,titip absen
gblggg,goblok
unyu,lucu
anjg,anjing
bangeeet,banget
males banget,sangat malas
ajggg,anjing
tida,tidak
paling burung,paling buruk
kelen,kalian
uplot,unggah
oengen,mau
tyda,tidak
ako,aku
lebi,lebih
onlineee,online
banya,banyak
ibuk,ibu
ppl,
dom,domisili
sekaliii,sekali
urang,saya
sokusinya,solusinya
anjim,anjing
flishhh,plis
online,onlen
us,ujian sekolah
utbk,ujian tulis berbasis komputer
ngalong,begadang
usah,perlu
bangeeettt,banget
masup,masuk
nngys,nangis
goblo,bodoh
gwa,aku
tkt,takut
we,aku
kerad,gila
rl,real life
nder,brother
bangeet,banget
sekul,sekolah
gc,group chat
mhs,mahasiswa
classes,kelas
conference,konferensi
kadis,kepala dinas
kabid,kepala bidang
entah,tidak tahu
lupaa,lupa
valas,valutaasing
prefer,lebih memilih
kampus2,kampus-kampus
rapotan,raport
i,saya
mean,maksud
flis,tolong
gakuad,tidak kuat
bk,besok
hate,benci
gabut,bosan
bangeett,banget
w/,dengan
Wad,Buat
satu2nya,satu-satunya
ena,enak
statistics,statistik
manusya,manusia
kwad,kuat
cumanan,hanya
tmptku,tempatku
ngapainnnn,ngapain
lord,tuan
wadir,wakildirektur
langsungg,langsung
kbnykn,kebanyakan
sfh,belajar dari rumah
smngt,semangat
rewelnya,susahnya
wagub,wakil gubernur
ppdb,penerimaan peserta didik baru
nakes,tenaga kesehatan
lipia,lembaga ilmu pengetahuan islam dan arab
unk,untuk
makasihh,terimakasih
suruu,suruh
wamil,wajibmiliter
banger,banget
un,ujian nasional
ipk,indeks prestasi kumulatif
ngx,tidak
gatahan,tidak tahan
mageran,malas gerak
nerapin,menerapkan
warteg,warung tegal
betuls,betul
krucil2,anak-anak
ngurusinnya,mengurusnya
matkul,mata kuliah
waspadalah,waspada
education,pendidikan
boro,jangankan
ges,guys
muk,mau
graphic,grafik
gaaaa,tidak
teross,terus
break,istirahat
bangett,banget
hyung,kakak
good night,selamat malam
wat,untuk
seabreg,banyak
gatidur,tidak tidur
berb,verb
bo,mau
netthink,nethink
cicle,lingkungan
kaayak,seperti
yaallah,ya allah
watuk,batuk
apk,aplikasi
pebisnis,pembisnis
sabaarrrr,sabar
halokes,sekolah
bobo,tidur
wkwkkw,tertawa
brkontribusi,berkontribusi
wtf,bangsat
adik2,adik-adik
blkngan,belakangan
mama,ibu
teacher,guru
wth,whatthehell
well,jadi
sudahhh,sudah
agsts,agustus
ipnya,indeks prestasi nya
krs,kartu rencana studi
5nya,5
xixixi,tertawa
biar,supaya
bikin,buat
ujung,akhirnya
req,request
bobol,menjebol
ready,siap
kids,anak-anak
must,harus
be safe,berhati-hati
bantuinn,bantuin
pic,picture
not,belum
a,menjadi seseorang
man,laki-laki dewasa
iq,aku
ya,iya
soale,soalnya
assesment,penilaian
magang2,magang
mon maap,mohon maaf
nyuwun sewu,maaf
pki,partai komunis indonesia
yaudah,ya sudah
yawdah,ya sudah
sumpahlah,sumpah
rto,request time out
face to face,tatap muka
online class,kelas online
pliss,tolong
hp,handphone
ngesakno,menyusahkan
dekne,ngrsakno
universiti,universitas
ndilok,melihat
jelimet,rumit
cuba,coba
belii,beli
mashok,masuk
udaa,sudah
gedeee,besar
worth,bernilai
baiknya,sebaiknya
yl,yanglain
home,rumah
mmf,maaf
free,bebas
rt,retweet
nsk,mau
kayaknya,sepertinya
sekaly,sekali
rada,agak
nyantol,nyangkut
ptn,perguruan tinggi negeri
bareng,bareng-bareng
yoi,ya
gesss,guys
skuy,yuk
gugel,google
yowes,ya sudah
bangettt,banget
misqueen,miskin
menjadu,menajdi
vc,video call
spp,sumbangan pembinaan pendidikan
mbolos,bolos
yth,yang terhormat
diy,daerah istimewa yogyakarta
manala,mana yang
keja,kerja
hengpon,handphone
murit,murid
klayapan,kelayapan
gilaaaaa,gila
ukt,uang kuliah tinggal
ywdh,ya sudah
zonk,bodoh
riweh,ribet
brou,bro
kmtllll,kontol
pembelajaranjarakjauh,pembelajaran jarak jauh
mantaaaaap,mantap
terussssss,terus
terosss,terus
aflikasi,aplikasi
netaas,menetas
keberpa,keberapa
eeeehhhh,eh
kata2nyaaa,kata-katanya
bangetttt,banget
aaaaahhhh,ah
bangettttt,banget
bangetttttttt,banget
gemess,gemas
bangg,bang
banyak2,banyak-banyak
baper,bawaperasaan
gemesiin,menggemaskan
menyenangkn,menyenangkan
akau,aku
mnis2nya,manis-manisnya
idolaa,idola
baaiikkk,baik
telaatt,telat
baperr,bawa perasaan
barang2,barang-barang
loohhh,loh
baguuuuus,bagus
bat,banget
bnk,bang
awaas,awas
siip,sip
abizzzz,habis
kerrrrennnn,keren
sayaa,saya
bayangin,bayangkan
bbrp,beberapa
kharismanya,karismanya
bbrpa,beberapa
bc,baca
bcnda,bercanda
lgunya,lagunya
kereeeeennnn,keren
nyamain,menyamakan
bdn,badan
lakik,laki
siippp,sip
beda2,beda beda
wihhhhhh,wih
bedain,membedakan
bingitsss,banget
bird,biru
kaloo,kalo
tuuh,tuh
nyebur,mencebur
begete,banget
belain,membela
bangcat,bangsat
belanjaa,belanja
waoohhh,wah
dhe,deh
indahhh,indah
beliin,belikan
berarto,berarti
belom,belum
aminnnn2,amin-amin
"benar""",benar-benar
benar2,benar-benar
amiend,amien
ameen,amin
bener,benar
mamer,memamerkan
jelase,jelas
uwakk,uwak
piiink,pink
astgfrullah,astagfirullah
cd,celana dalam
yaaaaaa,ya
bangshad,bangsat
stagahhhh,astaga
iooo,lo
plampiasannn,pelampiasan
masalahh,masalah
inghinn,ingin
dhi,di
mengherthii,mengerti
yanckh,yang
chelalyyu,selalu
therchakitty,tersakiti
kaliii,kali
yokkk,yuk
sweger,segar
kebukaaa,terbuka
kayakk,kayak
njerr,anjir
bingiiittttzzzz,banget
"bener""",benar-benar
dooong,dong
bener2,benerbener
mbakx,mbaknya
kite,kita
beneran,benaran
bejilbbnya,berjilbabnya
masio,masih
ugaaa,juga
jerewi,jerawat
jilbabnyaah,jilbabnya
warnaaa,warna
sukaaak,suka
kebayanyaa,kebayanya
mantes,memantas
merekaaaa,mereka
tiga2nya,tiga-tiganya
emessss,gemas
ucullllll,lucu
bangeettt,banget
gemesshh,gemas
apaaa,apa
ampuunn,ampun
ciuuuummmm,cium
mbil,sambil
epe,apa
seehh,sih
ber2,berdua
berbeda2,berbeda-beda
astagfirrullah,astagfirullah
Berfikir,berpikir 
suerrr,suer
berhijap,berhijab
besarin,membesarkan
ntik,cantik
bet,banget
ketawakkkk,ketawa
nakutin,menakutkan
malingg,maling
niihh,nih
imutttttt,imut
satuuuuu,satu
sesekk,sesak
nafass,nafas
cintaaaaaaa,cinta
Beud,Banget
duluu,dulu
megang,memegang
Beut,Banget
kawinin,mengawini
bg,abang
bdan,badan
fotoin,memfoto
ganteng2,ganteng-ganteng
kri,kiri
bgd,banget
garuk2,garuk-garuk
tembokk,tembok
kiriii,kiri
bungkusin,bungkuskan
dehhhh,deh
bget,banget
ngegantiin,menggantikan
trsa,terasa
khadirannya,kehadirannya
fikiran,pikiran
hayalanku,khayalanku
bgini,begini
surgaa,surga
kakkkkk,kak
rinduuuuuuuuu,rindu
bgitu,begitu
terangkhn,terangkan
bgmana,bagaimana
bgmn,bagaimana
bngunlah,bangunlah
bngun,bangun
hiri,hari
bgmna,bagaimana
bgni,begini
bgs,bagus
benet,benar
bgt,banget
kklau,kalau
yaaa ,ya
bnerr,benar
emk,emak
temenn,teman
pngenn,pengin
terkenall,terkenal
ajhh,saja
sungguh2,sungguh-sungguh
dimusiumin,dimuseumkan
kangem,kangen
"mudh""an",mudah-mudahan
tenny,tenang
maap,maaf
biasa2,biasa-biasa
mnrtkuu,menurutku
jdwl,jadwal
wajiiib,wajib
aaaammmiiiinnnn,amin
dtnggu,ditunggu
waktunyaaa,waktunya
diluangin,diluangkan
istimewaaa,istimewa
donkk,dong
kejawab,terjawab
seru2an,seru-seruan
mohom,mohon
kebalas,terbalas
ngobrol,mengobrol
ijap,ijab
kobul,kabul
inggat,ingat
sanggat,sangat
siipp,sip
kedpan,kedepan
mndaptkan,mendapatkan
"nutup""in",menutup-nutupi
mulut2,mulut-mulut
peengn,pengin
muantteepp,mantap
mrit,merit
ngapasih,mengapa sih
sisain,menyisakan
slamt,selamat
edaaan,edan
sehat2,sehat-sehat
ciyeeeeeee,cie
lairannya,kelahirannya
jmnya,jamnya
terbaikkk,terbaik
ayahh,ayah
mrekaaaa,mereka
yaampuuuunnnn,ya ampun
tempt,tempat
brani,berani
asyikkkkk,asyik
iriiiii,iri
naaaaahh,nah
jrang,jarang
gossip2.an,gosip-gosipan
makkk,mak
pengennn,pengin
gilzz,gila
nyaru,menyaru
kebarat2an,kebarat-baratan
payahh,payah
ntaf,mantap
"mudah""n",mudah-mudahan
milikin,memiliki
kamo,kamu
sukaaaaaa,suka
mehoonggggg,mahal
apikkkk,apik
yoiii,yoi
liptsk,lipstik
nyeplak,menjiplak
mengncang,mengencang
mnjual,menjual
cooocok,cocok
mama.nyy,mamanya
bosenin,membosankan
bukn,bukan
sey,sih
eakyu,waktu
doeloe,dulu
malh,malah
fhotonya,fotonya
bleh,boleh
tanteny,tantenya
sklinyaa,sekalinya
dramaa,drama
niiih,nih
lihaat,lihat
yuwkkk,yuk
editannn,editan
mai,mau
kejuu,keju
nama.a,namanya
yuuuuk,yuk
tuhhh,tuh
amploppp,amplop
sayangg'',sayang-sayang
nantii,nanti
yukkkk,yuk
nged,banget
nantik,nanti
biasahhh,biasa
tutorialx,tutorialnya
rekomndd,rekomendasi
bli2n,beli-belikan
wado,waduh
yaakkk,ya
bangetttttyt,banget
kangeeeeeeeeennnnnnnn,kangen
kaliannnnnn,kalian
rinduuuuuuuuuu,rindu
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kaliannnnnm,kalian
kangeeeeeeeeeeennnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
bgtt,banget
kaliannnnnnn,kalian
th2,tahun-tahun
wlwpun,walaupun
trpsah,terpisah
prsatukn,persatukan
bgttt,banget
ngomng,mengomong
bgtttt,banget
kangeeerrn,kangen
terrrrbaik,terbaik
jorookknya,joroknya
ihhhhh,ih
jorokkkk,jorok
mualll,mual
bgtu,begitu
ajh,saja
taiiii,tahi
seneeeeeng,senang
tanyang,tayang
ngelarang,melarang
kerreeen,keren
bgus,bagus
pantess,pantas
bhgia,bahagia
bhs,bahasa
pemainy,pemainnya
bhw,bahwa
bhwa,bahwa
biarin,biarkan
biasaa,biasa
kbawa,terbawa
bradegan,beradegan
bikinin,bikin
amiiinnnn,amin
nikahin,menikahi
hadeuh,aduh
bilangin,bilang
liyat,lihat
bilanh,bilang
bilng,bilang
binggo,banget
bingiit,banget
bingit,banget
sitayngin,ditayangkan
bingits,banget
mahhhh,mah
cocokny,cocoknya
bingitt,banget
iniw,ini
bingittzz,banget
bisaa,bisa
setju,setuju
bnern,benaran
bisaaa,bisa
bkal,bakal
bkan,bukan
mksdny,maksudnya
bkin,bikin
beginiiii,begini
bkln,bakalan
bkn,bukan
sygkuu,sayangku
baju'a,bajunya
gara'',gara-gara
pokok'a,pokoknya
bentarr,bentar
dureen,duren
ajibb,ajib
mahall,mahal
niiihh,nih
imuuttt,imut
imuttzz,imut
nha,nya
konten2,konten-konten
daaaah,deh
asliiii,asli
cantiknnnnyaaaaaaa,cantiknya
ngelihatnya,melihatnya
ibu2,ibu-ibu
sexxi,seksi
bulet,bulat
blg,bilang
yaahhh,ya
kencqng,kencang
diginikan,dibeginikan
"coret""",coret-coret
gambarin,gambarkan
blh,boleh
bljr,belajar
digambarin,digambarkan
klen,kalian
blkng,belakang
bangke,bangkai
blm,belum
bedanyaaa,bedanya
pgin,pengin
krudungan,kerudungan
maksutku,maksudku
jd'y,jadinya
manisnyaaaa,manisnya
ngaco,mengaco
ngomen,mengomentari
kaaakk,kak
tenggah,tengah
bln,bulan
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
kocakkkkkkkkkkkkkk,kocak
ksukaanmuuu,kesukaanmu
bagiii,bagi
blng,bilang
blnja,belanja
penasarannnn,penasaran
gilakkkkkk,gila
nontoonnn,menonton
cepet2,cepat-cepat
blom,belum
nontonnnn,menonton
deeek,dek
ntappp,mantap
cyiiin,cinta
kureeeen,keren
muantaap,mantap
bls,balas
bli,beli
nraktir,mentraktir
blum,belum
sbnyak,sebanyak
penasaraaann,penasaran
bnda,benda
bner,benar
peen,pengin
gga,enggak
ceritax,ceritanya
yoooiii,yoi
"bner""",benar-benar
tauuuuu,tau
sabarrrrr,sabar
kqmu,kamu
banggain,banggakan
bner2,benar-benar
bng,bang
pengan,pengin
bngeet,banget
sendeng,senang
gakk,enggak
bnget,banget
nanggepin,menanggapi
kirimin,mengirimi
senengin,senangi
ampunnnn,ampun
teruzzz,terus
mantabb,mantab
jendess,janda
sichh,sih
namnya,namanya
bngett,banget
geh,gih
bngettt,banget
aduuhhh,aduh
silauuu,silau
bngt,sangat
njiirr,anjir
kesinii,kesini
wiiiihhhh,wih
samoga,semoga
kereennn,keren
nyangkaa,menyangka
hasilnyaaa,hasilnya
dahhhh,dah
jugaakk,juga
lhoo,loh
donx,dong
gthu,begitu
maauuu,mau
pacarrr,pacar
idamann,idaman
naturalllll,natural
berntung,beruntung
romntis,romantis
ulan,ulang
diksi,dikasih
bngtt,banget
bngtttt,banget
keciill,kecil
ughaa,juga
"tante""",tante-tante
bnr,benar
abeees,habis
adain,mengadakan
bosen2,bosan-bosan
sempurnaaaaa,sempurna
kece2,kece-kece
badaaiii,badai
beneraan,benaran
kuatttt,kuat
cantiiiiiiik,cantik
bnr2,benar-benar
bae2,baik-baik
catiiiiik,cantik
bnran,yangbenar
bnrn,beneran
jaman2nya,jaman-jamannya
bntr,sebentar
bntu,bantu
bnyak,banyak
"pasien""nya",pasien-pasiennya
keeeerrrreeeennnnnnnnn,keren
choker2,choker-choker
bnyk,banyak
hadirr,hadir
jelashh,jelas
sekali2,sekali-kali
hidupppp,hidup
diliatnya,dilihatnya
abis2,habis-habis
para2,parah-parah
boker,buangairbesar
allahhhhhhh,allah
gemesnya,gemasnya
bole,boleh
tbuh,tubuh
boleh2,boleh-boleh
boong,bohong
bosaan,bosan
repot2,repot-repot
oles2,oles-oles
bosen,bosan
dptkan,dapatkan
ninggiin,meninggikan
botakin,botaki
bpknya,bapaknya
br,baru
brarti,berarti
brayyy,bray
balesin,membalas
brdua,berdua
brg,barang
brp,berapa
terharuuu,terharu
alamii,alami
ckrng,sekarang
brpa,berapa
imut2,imut-imut
yahbh,ya
brsma,bersama
neko2,neko-neko
bru,baru
sktika,seketika
lutu,lucu
massss,mas
kesiniii,kesini
"jalan""nya",jalan-jalannya
masyaallahhh,masyaallah
begok,bego
bs,bisa
bawak,bawa
keeeeeren,keren
baguusss,bagus
nahannnn,tahan
bagaatt,banget
gayannxa,gayanya
kereeeen,keren
ngekeh,kekeh
xlian,kalian
b3,bertiga
koplakkk,koplak
yachhh,ya
nyolotinnnn,menyolot
beratttttttt,berat
hijaabbb,hijab
sekalii,sekali
smnagatin,menyemangati
kanapa,kenapa
bsa,bisa
banhet,banget
bgttttttt,banget
mngasi,mengasih
kmbang,kembang
bsk,besok
bsok,besok
bt,bosansekali
blakon,berlakon
btuh,butuh
btul,betul
bngtzt,banget
lucukkkkk,lucu
buanget,banget
buatin,buatkan
ciusss,serius
palinf,paling
fav,favorit
maak,mak
ngakaaaakkk,mengakak
buktiin,buktikan
gokill,gila
kocakkkkkk,kocak
capee,cape
pegangin,memegang
nyender,menyandar
peleotin,meleot
bundaa,bunda
termurahhhh,termurah
bundaaaa,bunda
graaatiiiis,gratis
bw,bawa
meriahh,meriah
cantikkkm,cantik
bwt,untuk
yuppss,ya
onoh,sono
staf2nya,staf-stafnya
byk,banyak
manteppp,mantap
ynk,sayang
"hati""",hati-hati
"jangan""",jangan-jangan
c,sih
cakepp,cakep
canci,cantik
cans,cantik
cantiiik,cantik
ms,masih
cantiiikk,cantik
haragain,menghargai
cantiik,cantik
cantiikk,cantik
nyakitin,menyakiti
cantiikkkk,cantik
cantik2,cantik-cantik
sbaiknya,sebaiknya
blajar,belajar
cantikk,cantik
nilai2,nilai-nilai
buka2,buka-buka
nyinyirin,nyinyir
cantikkk,cantik
ngomomg,mengomong
cantikkkk,cantik
kbetulan,kebetulan
ngamatin,mengamati
cantikkkkk,cantik
cantikkkkkk,cantik
cantikkkkkkkk,cantik
ngintilin,mengintil
cantiknyaa,cantiknya
cantiknyaaa,cantiknya
nyambet,menyambat
cantinya,cantiknya
cantiq,cantik
cape,capek
catokin,catok
bo'ong,bohong
cb,coba
eloo,lo
apa2nya,apa-apanya
goblokkk,goblok
sesatt,sesat
ibliss,iblis
ccok,cocok
kbiasaan,kebiasaan
cepet,cepat
cew,cewek
cewe,cewek
tdnya,tadinya
ciapa,siapa
ciee,cie
cieeeee,cie
ciptain,ciptakan
cita2,cita-cita
branjak,beranjak
ank2,anak-anak
ckp,cakep
masyarakay,masyarakat
ckup,cukup
cm,cuma
menegerti,mengerti
sok2,sok-sok
kakkkk,kak
slamet,selamat
cma,cuma
ngcpin,mengucapkan
woowwww,wow
cmn,cuman
cmpur,campur
kebagi,terbagi
cntik,cantik
tetapppp,tetap
jakety,jaketnya
cntikk,cantik
cntiknya,cantiknya
pusingggg,pusing
cntk,cantik
co,cowok
ihhhh,ih
cobaa,coba
gantng,ganteng
alak,kepala
hilangv,hilang
bungggg,bung
cobaaa,coba
gapap,enggak apa-apa
cobain,coba
cocokk,cocok
gokiiill,gila
cocokkk,cocok
busedh,buset
gokilnya,gilanya
cocokkkk,cocok
keceee,kece
gilaa,gila
cogan,cowok ganteng
duuhhh,duh
coment,komen
amiiiiinnnnn,amin
tullus,tulus
cow,cowok
pluk,peluk
durhaka2,durhaka-durhaka
cowo,cowok
cpa,siapa
"seburuk""",seburuk-buruk
cpt,cepat
ktaa,kita
tetaplaah,tetaplah
cr,cara
cri,cari
cuantik,cantik
oprasi,operasi
gya,gaya
cucok,cocok
cucokkk,cocok
cumn,hanya
Cw,Cewek
ksenangan,kesenangan
ddpt,didapat
jwab,jawab
cwe,cewek
mmbodohkan,membodohkan
orlaen,orang lain
cwek,cewek
cwo,cowok
aplikasiin,mengaplikasikan
berangat,berangkat
praktekin,mempraktikkan
kate,kata
cwok,cowok
cabe2,cabe-cabe
prjuangan,perjuangan
cyin,cinta
stimpal,setimpal
d,di  
ddpat,didapat
bhagia,bahagia
korek2,korek-korek
sasama,sesama
cabe2an,cabe-cabean
terong2an,terong-terongan
ngurusan,mengurusi
campurin,mencampuri
emnknya,memangnya
mrangkul,merangkul
wlo,walau
manusiy,manusia
tx,tak
teringt,teringat
trmsuk,termasuk
da,lah
pilihnmu,pilihanmu
swmntara,sementara
daah,dah
suaminy,suaminya
dah,sudah
jadulnya,jaman dulunya
mantaff,mantap
dahh,dah
bagaimna,bagaimana
mulusssss,mulus
dak,indak
yawlah,ya allah
kepeleset,kepleset
kayanye,kayanya
amiinnnn,amin
dapet,dapat
komen2an,komen-komenan
wewww,wow
dumsss,dong
perbaikin,memperbaiki
permasalhkan,permasalahkan
betul2,betul-betul
jauhin,jauhi
adiik,adik
"besar""",besar-besar
dapetin,mendapati
dasyat,dahsyat
dkuburnya,dikuburnya
fi,di
dateng,datang
dbuat,dibuat
critamu,ceritamu
ddlm,didalam
de,adik
bres,beres
cmkn,camkan
dech,deh
dede,adek
dedek,adek
deg2an,deg-degan
dehh,deh
donks,dong
"membanding""",membanding-banding
mengperbolehkan,memperbolehkan
ngri,negeri
"dingin""",dingin-dingin
dehhh,deh
dibangga'in,dibangga-banggakan
deket,dekat
"jelek""in",menjelek-jelekkan
denger,dengar
smog,semoga
mnerima,menerima
baikxa,baiknya
aaamin,amin
dengerin,dengarkan
amienn,amien
sekangen2,sekangen-kangen
dg,dengan
amiiiiiiiiiinnnnnnn,amin
amiiiiiiiiiiin,amin
seluru,seluruh
tebir,ribet
doangam,doang
"tebir""",ribet-ribet
amad,amat
mkst,maksud
wong2,wong-wong
bangets,banget
dgn,dengan
dwh,deh
bante,bantai
komenannya,komentarnya
hadapin,menghadapi
dengarin,mendengarkan
cock,cocok
temen-temen,teman-teman
stu,satu
syratnya,syaratnya
shat,sehat
burem,buram
kancang,kencang
mansyoallah,masyaallah
canttttikkk,cantik
lkuin,lakukan
langgenh,langgeng
foto2nya,foto-fotonya
tanggung2,tanggung-tanggung
salluutt,salut
dgr,dengar
dh,sudah
pdng,padang
warbiyasah,luar biasa
diaa,dia
diajarin,diajari
keedaannya,keadaannya
dianterin,diantar
saya2,saya-saya
sekrng,sekarang
diapa2in,diapa-apai
diapain,diapakan
dibls,dibalas
diem,diam
diemin,diamkan
diginiin,dibeginikan
gra2,gara-gara
digituin,dibegitukan
dijadiin,dijadikan
dikata2in,dikata-katai
udah2,sudah-sudah
ungkit2,ungkit-ungkit
dikatain,dikatai
dikemanain,dikemanakan
curhat2,curhat-curhat
dikerasin,dikerasi
diladenin,diladeni
diliat,dilihat
mata'y,matanya
diluarann,diluaran
buruannn,buruan
dipake,dipakai
perubut,perebut
sumai,suami
diputusin,diputuskan
disiniii,disini
disni,disini
diurusin,diurusi
dl,dulu
mmbela,membela
mslhnya,masalahnya
dlam,dalam
llki,lelaki
dluar,diluar
dlm,dalam
dya,dia
maluuuu,malu
tongolin,menongol
cabol,cabul
tot,entot
hidiyah,hidayah
bgi,bagi
sdri,sendiri
dlu,dulu
cek2,cek-cek
mgk,mungkin
sapa2,sapa-sapa
termurahhh,termurah
dmana,dimana
banyaaaaaak,banyak
dmn,dimana
baik2nya,baik-baiknya
dmna,dimana
dn,dan
amit2,amit-amit
dng,dengan
dngan,dengan
ngajuin,mengajukan
dngerin,dengarkan
doank,saja
terbaeq,terbaik
dongg,dong
jels,jelas
diakibtkn,diakibatkan
donk,dong
jelek2,jelek-jelek
dsrny,dasarnya
mantaap,mantap
lanjutkaaaaan,lanjutkan
hiduppp,hidup
ncek,encek
majuuu,maju
teruuss,terus
looohh,loh
sebelumbya,sebelumnya
"tahun""",tahun-tahun
hokiii,hoki
dosax,dosanya
dpke,dipakai
"bangt""",banget-banget
dpn,depan
dpotong,dipotong
dpt,dapat
nafkahin,menafkahi
ngitem,menghitam
banyaaaak,banyak
lhat,lihat
cantika,cantik
fillm,film
dr,dari
cantiks,cantik
pilm,film
cini,sini
jaaangan,jangan
terimaksih,terima kasih
kaannnn,kan
tidakkkk,tidak
kemuh,kamu
keren2,keren-keren
sby,surabaya
